Year,Program_encoded,Status_encoded,Score_processed
2023,1,3,3.0
2023,3,3,2.7
2023,5,2,0.0
2022,1,3,3.0
2022,2,3,3.0
2022,5,2,0.0
2021,1,3,3.7
2021,3,3,2.0
2021,5,3,3.0
2020,1,3,4.0
2020,3,3,2.0
2020,5,3,2.0
2019,1,3,4.0
2019,3,3,2.0
2019,5,3,2.0
2018,1,3,3.7
2018,3,2,0.0
2018,4,3,2.0
2017,1,3,3.0
2017,3,2,0.0
2017,4,3,0.7
2016,1,3,3.0
2016,3,0,3.0
2016,4,3,3.0
2015,1,3,3.0
2015,3,0,3.0
2015,4,3,3.0
2014,0,3,4.0
2014,3,0,3.0
2014,4,3,3.0
2013,1,3,3.7
2013,3,0,3.0
2013,4,3,3.0
2012,1,3,3.0
2012,3,2,3.0
2012,4,1,3.0
2011,1,3,3.0
2011,4,0,3.0
2010,1,3,3.0
2010,4,1,3.0
